# command: if command -v dpkg-query >/dev/null 2>&1; then dpkg-query -W 2>/dev/null | sort; elif command -v pacman >/dev/null 2>&1; then pacman -Q 2>/dev/null | sort; elif command -v apk >/dev/null 2>&1; then apk info -vv 2>/dev/null | sort; elif command -v opkg >/dev/null 2>&1; then opkg list-installed 2>/dev/null | sort; fi || true

adduser	3.134
libpq5:amd64	15.18-0+deb12u1
libproc2-0:amd64	2:4.0.2-3
libprotobuf-c1:amd64	1.4.1-1+b1
libprotobuf-dev:amd64	3.21.12-3
libprotobuf-lite32:amd64	3.21.12-3
libprotobuf32:amd64	3.21.12-3
libprotoc32:amd64	3.21.12-3
libproxy1v5:amd64	0.4.18-1.2
libpsl5:amd64	0.21.2-1
libpsm-infinipath1	3.3+20.604758e7-6.2
libpsm2-2	11.2.185-2
libpthread-stubs0-dev:amd64	0.4-1
libptscotch-7.0:amd64	7.0.3-2
libpulse0:amd64	16.1+dfsg1-2+b1
libpython3-stdlib:amd64	3.11.2-1+b1
libpython3.11-minimal:amd64	3.11.2-6+deb12u7
libpython3.11-stdlib:amd64	3.11.2-6+deb12u7
libpython3.11:amd64	3.11.2-6+deb12u7
libqdox-java	1.12.1-3
libqdox2-java	2.0.3-1
libqhull-r8.0:amd64	2020.2-5
libqrupdate1:amd64	1.1.2-4
libqscintilla2-qt5-15:amd64	2.13.3+dfsg-3
libqscintilla2-qt5-l10n	2.13.3+dfsg-3
libqt5concurrent5:amd64	5.15.8+dfsg-11+deb12u3
libqt5core5a:amd64	5.15.8+dfsg-11+deb12u3
libqt5dbus5:amd64	5.15.8+dfsg-11+deb12u3
libqt5gui5:amd64	5.15.8+dfsg-11+deb12u3
libqt5help5:amd64	5.15.8-2
libqt5network5:amd64	5.15.8+dfsg-11+deb12u3
libqt5printsupport5:amd64	5.15.8+dfsg-11+deb12u3
libqt5qml5:amd64	5.15.8+dfsg-3
libqt5qmlmodels5:amd64	5.15.8+dfsg-3
libqt5qmlworkerscript5:amd64	5.15.8+dfsg-3
libqt5quick5:amd64	5.15.8+dfsg-3
libqt5quickcontrols2-5:amd64	5.15.8+dfsg-2
libqt5quickparticles5:amd64	5.15.8+dfsg-3
libqt5quickshapes5:amd64	5.15.8+dfsg-3
libqt5quicktemplates2-5:amd64	5.15.8+dfsg-2
libqt5quicktest5:amd64	5.15.8+dfsg-3
libqt5quickwidgets5:amd64	5.15.8+dfsg-3
libqt5sql5:amd64	5.15.8+dfsg-11+deb12u3
libqt5test5:amd64	5.15.8+dfsg-11+deb12u3
libqt5widgets5:amd64	5.15.8+dfsg-11+deb12u3
libqt5xml5:amd64	5.15.8+dfsg-11+deb12u3
libqt6concurrent6:amd64	6.4.2+dfsg-10
libqt6core6:amd64	6.4.2+dfsg-10
libqt6dbus6:amd64	6.4.2+dfsg-10
libqt6designer6:amd64	6.4.2~rc1-2
libqt6designercomponents6:amd64	6.4.2~rc1-2
libqt6gui6:amd64	6.4.2+dfsg-10
libqt6help6:amd64	6.4.2~rc1-2
libqt6jsonrpc6:amd64	6.4.2-2
libqt6labsanimation6:amd64	6.4.2+dfsg-1
libqt6labsfolderlistmodel6:amd64	6.4.2+dfsg-1
libqt6labsqmlmodels6:amd64	6.4.2+dfsg-1
libqt6labssettings6:amd64	6.4.2+dfsg-1
libqt6labssharedimage6:amd64	6.4.2+dfsg-1
libqt6labswavefrontmesh6:amd64	6.4.2+dfsg-1
libqt6languageserver6:amd64	6.4.2-2
libqt6network6:amd64	6.4.2+dfsg-10
libqt6opengl6-dev:amd64	6.4.2+dfsg-10
libqt6opengl6:amd64	6.4.2+dfsg-10
libqt6openglwidgets6:amd64	6.4.2+dfsg-10
libqt6printsupport6:amd64	6.4.2+dfsg-10
libqt6qml6:amd64	6.4.2+dfsg-1
libqt6qmlcompiler6:amd64	6.4.2+dfsg-1
libqt6qmlcore6:amd64	6.4.2+dfsg-1
libqt6qmllocalstorage6:amd64	6.4.2+dfsg-1
libqt6qmlmodels6:amd64	6.4.2+dfsg-1
libqt6qmlworkerscript6:amd64	6.4.2+dfsg-1
libqt6qmlxmllistmodel6:amd64	6.4.2+dfsg-1
libqt6quick6:amd64	6.4.2+dfsg-1
libqt6quickcontrols2-6:amd64	6.4.2+dfsg-1
libqt6quickcontrols2impl6:amd64	6.4.2+dfsg-1
libqt6quickdialogs2-6:amd64	6.4.2+dfsg-1
libqt6quickdialogs2quickimpl6:amd64	6.4.2+dfsg-1
libqt6quickdialogs2utils6:amd64	6.4.2+dfsg-1
libqt6quicklayouts6:amd64	6.4.2+dfsg-1
libqt6quickparticles6:amd64	6.4.2+dfsg-1
libqt6quickshapes6:amd64	6.4.2+dfsg-1
libqt6quicktemplates2-6:amd64	6.4.2+dfsg-1
libqt6quicktest6:amd64	6.4.2+dfsg-1
libqt6quickwidgets6:amd64	6.4.2+dfsg-1
libqt6sql6-sqlite:amd64	6.4.2+dfsg-10
libqt6sql6:amd64	6.4.2+dfsg-10
libqt6test6:amd64	6.4.2+dfsg-10
libqt6uitools6:amd64	6.4.2~rc1-2
libqt6widgets6:amd64	6.4.2+dfsg-10
libqt6xml6:amd64	6.4.2+dfsg-10
libquadmath0:amd64	12.2.0-14+deb12u1
librav1e0:amd64	0.5.1-6
librdmacm1:amd64	44.0-2
libreadline8:amd64	8.2-1.3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b2
libruby3.1:amd64	3.1.2-7+deb12u1
libruby:amd64	1:3.1
libsamplerate0:amd64	0.2.2-3
libsasl2-2:amd64	2.1.28+dfsg-10
libsasl2-modules-db:amd64	2.1.28+dfsg-10
libscalapack-openmpi2.2:amd64	2.2.1-2+b1
libscotch-7.0:amd64	7.0.3-2
libseccomp2:amd64	2.5.4-1+deb12u1
libselinux1-dev:amd64	3.4-1+b6
libselinux1:amd64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:amd64	3.4-1+b5
libsensors-config	1:3.6.0-7.1
libsensors5:amd64	1:3.6.0-7.1
libsepol-dev:amd64	3.4-2.1
libsepol2:amd64	3.4-2.1
libsisu-inject-java	0.3.4-2
libsisu-plexus-java	0.3.4-3
libslang2:amd64	2.3.3-3
libslf4j-java	1.7.32-1
libsm-dev:amd64	2:1.2.3-1
libsm6:amd64	2:1.2.3-1
libsmartcols1:amd64	2.38.1-5+deb12u3
libsnappy-java	1.1.8.3-1
libsnappy-jni	1.1.8.3-1
libsnappy1v5:amd64	1.1.9-3
libsndfile1:amd64	1.2.0-1+deb12u1
libsodium23:amd64	1.0.18-1+deb12u1
libspec-alpha-clojure	0.3.218-1
libspqr2:amd64	1:5.12.0+dfsg-2
libsqlite3-0:amd64	3.40.1-2+deb12u2
libsquish0:amd64	1.15-3
libss2:amd64	1.47.0-2+b2
libssh2-1:amd64	1.10.0-3+b1
libssl-dev:amd64	3.0.20-1~deb12u2
libssl3:amd64	3.0.20-1~deb12u2
libstd-rust-1.63:amd64	1.63.0+dfsg1-2
libstd-rust-dev:amd64	1.63.0+dfsg1-2
libstdc++-12-dev:amd64	12.2.0-14+deb12u1
libstdc++6:amd64	12.2.0-14+deb12u1
libsuitesparseconfig5:amd64	1:5.12.0+dfsg-2
libsundials-ida6:amd64	6.4.1+dfsg1-3
libsundials-nvecparallel-petsc6:amd64	6.4.1+dfsg1-3
libsundials-sunlinsol3:amd64	6.4.1+dfsg1-3
libsundials-sunmatrix4:amd64	6.4.1+dfsg1-3
libsuperlu-dist8:amd64	8.1.2+dfsg1-1+b1
libsuperlu5:amd64	5.3.0+dfsg1-2+b1
libsvtav1enc1:amd64	1.4.1+dfsg-1
libsystemd-shared:amd64	252.39-1~deb12u1
libsystemd0:amd64	252.39-1~deb12u1
libsz2:amd64	1.0.6-1+b1
libtasn1-6:amd64	4.19.0-2+deb12u1
libtcl8.6:amd64	8.6.13+dfsg-2
libtcmalloc-minimal4:amd64	2.10-1
libtext-charwidth-perl:amd64	0.04-11
libtext-glob-perl	0.11-3
libtext-iconv-perl:amd64	1.7-8
libtext-unidecode-perl	1.30-3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-1
libthai-dev:amd64	0.1.29-1
libthai0:amd64	0.1.29-1
libtheora0:amd64	1.1.1+dfsg.1-16.1+deb12u1
libtiff-dev:amd64	4.5.0-6+deb12u4
libtiff6:amd64	4.5.0-6+deb12u4
libtiffxx6:amd64	4.5.0-6+deb12u4
libtinfo-dev:amd64	6.4-4
libtinfo6:amd64	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev:amd64	1.3.3+ds-1
libtirpc3:amd64	1.3.3+ds-1
libtk8.6:amd64	8.6.13-2
libtrilinos-amesos-13.2:amd64	13.2.0-4
libtrilinos-aztecoo-13.2:amd64	13.2.0-4
libtrilinos-epetra-13.2:amd64	13.2.0-4
libtrilinos-epetraext-13.2:amd64	13.2.0-4
libtrilinos-galeri-13.2:amd64	13.2.0-4
libtrilinos-ifpack-13.2:amd64	13.2.0-4
libtrilinos-kokkos-13.2:amd64	13.2.0-4
libtrilinos-ml-13.2:amd64	13.2.0-4
libtrilinos-teuchos-13.2:amd64	13.2.0-4
libtrilinos-trilinosss-13.2:amd64	13.2.0-4
libtrilinos-triutils-13.2:amd64	13.2.0-4
libtrilinos-zoltan-13.2:amd64	13.2.0-4
libtrove-intellij-java	1.0.20190514-2
libts0:amd64	1.22-1+b1
libtsan2:amd64	12.2.0-14+deb12u1
libtypes-serialiser-perl	1.01-1
libubsan1:amd64	12.2.0-14+deb12u1
libuchardet0:amd64	0.0.7-1
libucx0:amd64	1.13.1-1
libudev1:amd64	252.39-1~deb12u1
libumfpack5:amd64	1:5.12.0+dfsg-2
libunistring2:amd64	1.0-2
libunwind8:amd64	1.6.2-3
libuuid1:amd64	2.38.1-5+deb12u3
libuv1-dev:amd64	1.44.2-1+deb12u1
libuv1:amd64	1.44.2-1+deb12u1
libvavr0-java	0.10.3-2
libvelocity-tools-java	2.0-8
libvorbis0a:amd64	1.3.7-1
libvorbisenc2:amd64	1.3.7-1
libvpx7:amd64	1.12.0-1+deb12u5
libvulkan-dev:amd64	1.3.239.0-1
libvulkan1:amd64	1.3.239.0-1
libwacom-common	2.6.0-1
libwacom9:amd64	2.6.0-1
libwagon-provider-api-java	3.5.3-1
libwayland-client0:amd64	1.21.0-1
libwayland-cursor0:amd64	1.21.0-1
libwayland-egl1:amd64	1.21.0-1
libwayland-server0:amd64	1.21.0-1
libwebp-dev:amd64	1.2.4-0.2+deb12u1
libwebp7:amd64	1.2.4-0.2+deb12u1
libwebpdemux2:amd64	1.2.4-0.2+deb12u1
libwebpmux3:amd64	1.2.4-0.2+deb12u1
libwmflite-0.2-7:amd64	0.2.12-5.1
libwrap0:amd64	7.6.q-32
libx11-6:amd64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-dev:amd64	2:1.8.4-2+deb12u2
libx11-xcb1:amd64	2:1.8.4-2+deb12u2
libx265-199:amd64	3.5-2+b1
libxalan2-java	2.7.2-4
libxau-dev:amd64	1:1.0.9-1
libxau6:amd64	1:1.0.9-1
libxaw7:amd64	2:1.0.14-1
libxbean-reflect-java	4.5-8
libxcb-dri2-0:amd64	1.15-1
libxcb-dri3-0:amd64	1.15-1
libxcb-glx0:amd64	1.15-1
libxcb-icccm4:amd64	0.4.1-1.1
libxcb-image0:amd64	0.4.0-2
libxcb-keysyms1:amd64	0.4.0-1+b2
libxcb-present0:amd64	1.15-1
libxcb-randr0:amd64	1.15-1
libxcb-render-util0:amd64	0.3.9-1+b1
libxcb-render0-dev:amd64	1.15-1
libxcb-render0:amd64	1.15-1
libxcb-shape0:amd64	1.15-1
libxcb-shm0-dev:amd64	1.15-1
libxcb-shm0:amd64	1.15-1
libxcb-sync1:amd64	1.15-1
libxcb-util1:amd64	0.4.0-1+b1
libxcb-xfixes0:amd64	1.15-1
libxcb-xinerama0:amd64	1.15-1
libxcb-xinput0:amd64	1.15-1
libxcb-xkb1:amd64	1.15-1
libxcb1-dev:amd64	1.15-1
libxcb1:amd64	1.15-1
libxcomposite-dev:amd64	1:0.4.5-1
libxcomposite1:amd64	1:0.4.5-1
libxcursor-dev:amd64	1:1.2.1-1
libxcursor1:amd64	1:1.2.1-1
libxdamage-dev:amd64	1:1.1.6-1
libxdamage1:amd64	1:1.1.6-1
libxdmcp-dev:amd64	1:1.1.2-3
libxdmcp6:amd64	1:1.1.2-3
libxerces2-java	2.12.2-1
libxext-dev:amd64	2:1.3.4-1+b1
libxext6:amd64	2:1.3.4-1+b1
libxfixes-dev:amd64	1:6.0.0-2
libxfixes3:amd64	1:6.0.0-2
libxfont2:amd64	1:2.0.6-1
libxft-dev:amd64	2.3.6-1
libxft2:amd64	2.3.6-1
libxi-dev:amd64	2:1.8-1+b1
libxi6:amd64	2:1.8-1+b1
libxinerama-dev:amd64	2:1.1.4-3
libxinerama1:amd64	2:1.1.4-3
libxkbcommon-x11-0:amd64	1.5.0-1
libxkbcommon0:amd64	1.5.0-1
libxkbfile1:amd64	1:1.1.0-1
libxml-commons-external-java	1.4.01-5
libxml-commons-resolver1.1-java	1.2-11
libxml-libxml-perl	2.0207+dfsg+really+2.0134-1+b1
libxml-namespacesupport-perl	1.12-2
libxml-sax-base-perl	1.09-3
libxml-sax-perl	1.02+dfsg-3
libxml2-dev:amd64	2.9.14+dfsg-1.3~deb12u5
libxml2-utils	2.9.14+dfsg-1.3~deb12u5
libxml2:amd64	2.9.14+dfsg-1.3~deb12u5
libxmlgraphics-commons-java	2.8-2
libxmu6:amd64	2:1.1.3-3
libxmuu1:amd64	2:1.1.3-3
libxnvctrl0:amd64	525.85.05-3~deb12u1
libxpm4:amd64	1:3.5.12-1.1+deb12u1
libxrandr-dev:amd64	2:1.5.2-2+b1
libxrandr2:amd64	2:1.5.2-2+b1
libxrender-dev:amd64	1:0.9.10-1.1
libxrender1:amd64	1:0.9.10-1.1
libxshmfence1:amd64	1.3-1
libxslt1.1:amd64	1.1.35-1+deb12u4
libxss1:amd64	1:1.2.3-1
libxt6:amd64	1:1.2.1-1.1
libxtables12:amd64	1.8.9-2
libxtst6:amd64	2:1.2.3-1.1
libxv1:amd64	2:1.0.11-1.1
libxxf86dga1:amd64	2:1.1.5-1
libxxf86vm1:amd64	1:1.1.4-1+b2
libxxhash0:amd64	0.8.1-1
libxz-java	1.9-1
libyaml-0-2:amd64	0.2.5-1
libyuv0:amd64	0.0~git20230123.b2528b0-1
libz3-4:amd64	4.8.12-3.1
libz3-dev:amd64	4.8.12-3.1
libzarith-ocaml	1.12-1+b1
libzstd-dev:amd64	1.5.4+dfsg2-5
libzstd1:amd64	1.5.4+dfsg2-5
linguist-qt6	6.4.2~rc1-2
linux-libc-dev:amd64	6.1.174-1
llvm-14	1:14.0.6-12
llvm-14-dev	1:14.0.6-12
llvm-14-linker-tools	1:14.0.6-12
llvm-14-runtime	1:14.0.6-12
llvm-14-tools	1:14.0.6-12
locales	2.36-9+deb12u14
login	1:4.13+dfsg1-1+deb12u1
logrotate	3.21.0-1
logsave	1.47.0-2+b2
lsb-release	12.0-1
lsof	4.95.0-1
lua5.4	5.4.4-3+deb12u1
mailcap	3.70+nmu1
make	4.3-4.1
man-db	2.11.2-2
manpages	6.03-2
manpages-dev	6.03-2
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mime-support	3.66
mono-4.0-gac	6.8.0.105+dfsg-3.3+deb12u1
mono-gac	6.8.0.105+dfsg-3.3+deb12u1
mono-mcs	6.8.0.105+dfsg-3.3+deb12u1
mono-runtime	6.8.0.105+dfsg-3.3+deb12u1
mono-runtime-common	6.8.0.105+dfsg-3.3+deb12u1
mono-runtime-sgen	6.8.0.105+dfsg-3.3+deb12u1
mount	2.38.1-5+deb12u3
mpi-default-bin	1.14
nano	7.2-1+deb12u1
ncurses-base	6.4-4
ncurses-bin	6.4-4
ncurses-term	6.4-4
netbase	6.4
netcat-traditional	1.10-47
nftables	1.0.6-2+deb12u2
nim	1.6.10-2
node-abbrev	1.1.1+~1.1.2-1
node-acorn	8.8.1+ds+~cs25.17.7-2
node-agent-base	6.0.2+~cs5.4.2-2
node-ajv	6.12.6-3
node-ajv-keywords	3.5.2-2
node-ampproject-remapping	2.2.0+~cs5.15.37-1
node-ansi-escapes	5.0.0+really.4.3.1-1
node-ansi-regex	5.0.1-1
node-ansi-styles	6.2.1-2
node-anymatch	3.1.3+~cs4.6.1-2
node-aproba	2.0.0-3
node-archy	1.0.0-6
node-are-we-there-yet	3.0.1+~1.1.0-1
node-argparse	2.0.1-2
node-arrify	2.0.1-3
node-assert	2.0.0+~cs3.9.8-2
node-async	0.8.0-6
node-async-each	1.0.3-3
node-babel-helper-define-polyfill-provider	0.3.3~0~20220913+ds1-1
node-babel-plugin-add-module-exports	1.0.4+dfsg1~cs5.8.0-4
node-babel-plugin-lodash	3.3.4+~cs2.0.1-6
node-babel-plugin-polyfill-corejs2	0.3.3~0~20220913+ds1-1
node-babel-plugin-polyfill-corejs3	0.6.0~0~20220913+ds1-1
node-babel-plugin-polyfill-regenerator	0.4.1~0~20220913+ds1-1
node-babel7	7.20.15+ds1+~cs214.269.168-3+deb12u2
node-babel7-runtime	7.20.15+ds1+~cs214.269.168-3+deb12u2
node-balanced-match	2.0.0-1
node-base64-js	1.5.1+dfsg+~1.3.0-2
node-binary-extensions	2.2.0-2
node-brace-expansion	2.0.1-2
node-braces	3.0.2+~3.0.1-1
node-browserslist	4.21.4+~cs6.1.17-2
node-builtins	5.0.1-1
node-busboy	1.6.0+~cs2.6.0-2
node-cacache	17.0.3+~cs10.3.7-1
node-camelcase	7.0.0-3
node-caniuse-lite	1.0.30001436+dfsg+~1.0.1-1
node-chalk	5.2.0-1
node-chokidar	3.5.3-2
node-chownr	2.0.0-2
node-chrome-trace-event	1.0.3-2
node-ci-info	3.6.1+~cs1.1.0-1
node-cjs-module-lexer	1.2.2+dfsg-5
node-cli-table	0.3.11+~cs0.13.4-3
node-cliui	7.0.4+repack+~cs3.1.0-4
node-clone	2.1.2-4
node-clone-deep	4.0.1+~cs7.0.2-1
node-color-convert	2.0.1+~cs2.0.0-2
node-color-name	1.1.4+~1.1.1-2
node-colors	1.4.0-4
node-columnify	1.6.0+~1.5.1-1
node-commander	9.4.1-1
node-commondir	1.0.1+~1.0.0-1
node-concat-stream	2.0.0+~2.0.0-2
node-console-control-strings	1.1.0-3
node-convert-source-map	1.9.0+~1.5.2-1
node-copy-concurrently	1.0.5-9
node-core-js	3.26.1-3
node-core-js-compat	3.26.1-3
node-core-js-pure	3.26.1-3
node-core-util-is	1.0.3-1
node-css-loader	6.7.2+~cs14.0.11-1
node-css-selector-tokenizer	0.8.0+~cs4.8.3-1
node-data-uri-to-buffer	4.0.0-3
node-debbundle-es-to-primitive	1.2.1+~cs9.7.25-2
node-debug	4.3.4+~cs4.1.7-1
node-decamelize	4.0.0-2
node-decompress-response	6.0.0-2
node-deep-equal	2.1.0+~cs31.12.80-1
node-deep-is	0.1.4-1
node-defaults	1.0.4+~1.0.3-1
node-define-properties	1.1.4+~1.1.3-1
node-defined	1.0.1+~1.0.0-1
node-del	7.0.0-5
node-delegates	1.0.0-3
node-depd	2.0.0-2
node-diff	5.0.0~dfsg+~5.0.1-4
node-doctrine	3.0.0-4
node-electron-to-chromium	1.4.284-1
node-encoding	0.1.13-2
node-end-of-stream	1.4.4+~1.4.1-1
node-enhanced-resolve	5.10.0-1
node-err-code	2.0.3+dfsg-3
node-errno	1.0.0-3
node-error-ex	1.3.2-4
node-es-abstract	1.20.4+~cs26.27.47-1
node-es-module-lexer	1.1.0+dfsg-2+deb12u1
node-es6-error	4.1.1-5
node-escape-string-regexp	4.0.0-2
node-escodegen	2.0.0+dfsg+~0.0.7-2
node-eslint-scope	7.1.1+~3.7.4-1
node-eslint-utils	3.0.0-3
node-eslint-visitor-keys	3.3.0+~1.0.0-1
node-espree	9.4.1~dfsg-1
node-esprima	4.0.1+ds+~4.0.3-2
node-esquery	1.4.2~ds-1
node-esrecurse	4.3.0-2
node-estraverse	5.3.0+ds+~5.1.1-1
node-esutils	2.0.3+~2.0.0-1
node-events	3.3.0+~3.0.0-3
node-fancy-log	1.3.3+~cs1.3.1-2
node-fast-deep-equal	3.1.3-3
node-fast-levenshtein	2.0.6+ds-3
node-fetch	3.3.0+~cs11.4.11-2
node-file-entry-cache	6.0.0+~3.0.4+~2.0.0+~1.0.0+~2.0.1-5
node-fill-range	7.0.1+~7.0.0-1
node-find-cache-dir	3.3.2+~3.2.1-1
node-find-up	6.3.0-7
node-flat-cache	3.0.4~6.0.0+~3.0.4+~2.0.0+~1.0.0+~2.0.1-5
node-flatted	3.2.7~ds-1
node-for-in	1.0.2-4
node-for-own	1.0.0-3
node-foreground-child	2.0.0-5
node-fs-readdir-recursive	1.1.0+~1.1.0-1
node-fs-write-stream-atomic	1.0.10-6
node-fs.realpath	1.0.0-3
node-function-bind	1.1.1+repacked+~1.0.3-2
node-functional-red-black-tree	1.0.1+20181105-7
node-gauge	4.0.4-1
node-get-caller-file	2.0.5+~cs1.1.1-4
node-get-stream	6.0.1-1
node-glob	8.0.3+~cs8.4.15-1
node-glob-parent	6.0.2+~5.1.1-2
node-globals	13.18.0-1
node-globby	13.1.3+~cs16.25.40-1+deb12u1
node-got	11.8.5+~cs58.13.36-3
node-graceful-fs	4.2.10-1
node-gyp	9.3.0-2
node-has-flag	4.0.0-3
node-has-unicode	2.0.1-5
node-hosted-git-info	6.1.1-2
node-https-proxy-agent	5.0.1+~cs8.0.0-3
node-iconv-lite	0.6.3-3
node-icss-utils	5.1.0+~5.1.0-1
node-ieee754	1.2.1-3
node-iferr	1.0.2+~1.0.2-1
node-ignore	5.2.1-1
node-imurmurhash	0.1.4+dfsg+~0.1.1-2
node-indent-string	4.0.0-2
node-inflight	1.0.6-2
node-inherits	2.0.4-6
node-ini	3.0.1-2
node-interpret	2.2.0-3
node-ip	2.0.0+~1.1.0-1
node-ip-regex	4.3.0+~4.1.1-1
node-is-arrayish	0.3.2-3
node-is-binary-path	2.1.0-5
node-is-buffer	2.0.5-2
node-is-extendable	1.0.1-3
node-is-extglob	2.1.1-5
node-is-glob	4.0.3-2
node-is-number	7.0.0-4
node-is-path-cwd	2.2.0-2
node-is-path-inside	3.0.3-2
node-is-plain-obj	3.0.0-2
node-is-plain-object	5.0.0-7
node-is-stream	3.0.0-4
node-is-typedarray	1.0.0-4
node-is-windows	1.0.2+~cs1.0.0-1
node-isarray	2.0.5-4
node-isexe	2.0.0+~2.0.1-5
node-isobject	4.0.0-2
node-istanbul	0.4.5+repack10+~cs97.25.57-3
node-jest-debbundle	29.3.1~ds1+~cs70.48.25-2
node-jest-worker	29.3.1~ds1+~cs70.48.25-2
node-js-tokens	8.0.0-2
node-js-yaml	4.1.0+dfsg+~4.0.5-7
node-jsesc	3.0.2+~3.0.1-1
node-json-buffer	3.0.1+~3.0.0-1
node-json-parse-better-errors	1.0.2+~cs3.3.1-2
node-json-schema	0.4.0+~7.0.11-1
node-json-schema-traverse	1.0.0-3
node-json-stable-stringify	1.0.2+~cs5.2.34-1
node-json5	2.2.3+dfsg-1
node-jsonify	0.0.1-1
node-jsonparse	1.3.1-10
node-kind-of	6.0.3+dfsg-2
node-levn	0.4.1+dfsg-2
node-loader-runner	4.3.0-1
node-locate-path	7.1.1-2
node-lodash	4.17.21+dfsg+~cs8.31.198.20210220-9
node-lodash-packages	4.17.21+dfsg+~cs8.31.198.20210220-9
node-lowercase-keys	2.0.0-2
node-lru-cache	7.14.1-1
node-make-dir	3.1.0-3
node-memfs	3.4.12+~cs1.0.3-1
node-memory-fs	0.5.0+~0.3.3-2
node-merge-stream	2.0.0+~1.1.2-2
node-micromatch	4.0.5+~4.0.2-1
node-mime	3.0.0+dfsg+~cs3.97.1-1
node-mime-types	2.1.35-1
node-mimic-response	3.1.0-8
node-minimatch	5.1.1+~5.1.2-1
node-minimist	1.2.7+~cs5.3.2-2
node-minipass	3.3.6+~cs9.4.19-1+deb12u1
node-mkdirp	1.0.4+~1.0.2-4
node-move-concurrently	1.0.1-5
node-ms	2.1.3+~cs0.7.31-3
node-mute-stream	0.0.8+~0.0.1-3
node-n3	1.16.3+~1.2.3+~1.10.4-1
node-negotiator	0.6.3+~0.6.1-1
node-neo-async	2.6.2+~cs3.0.0-2
node-nopt	5.0.0-4
node-normalize-package-data	4.0.1+~2.4.1-1
node-normalize-path	3.0.0+~3.0.0-1
node-npm-bundled	2.0.1-2
node-npm-package-arg	10.0.0+~3.0.0-2
node-npm-run-path	5.1.0+~4.0.0-8
node-npmlog	7.0.1+~4.1.4-1
node-object-assign	4.1.1-7
node-object-inspect	1.12.2+~cs1.8.1-1
node-once	1.4.0-7
node-optimist	0.6.1+~0.0.30-2
node-optionator	0.9.1+dfsg+~cs1.2.3-1
node-osenv	0.1.5+~0.1.1-1
node-p-cancelable	2.1.1-1
node-p-limit	4.0.0+~cs4.0.0-5
node-p-locate	6.0.0-12
node-p-map	4.0.0+~3.1.0+~3.0.1-1
node-parse-json	5.2.0+~cs5.1.7-1
node-path-dirname	1.0.2-2
node-path-exists	5.0.0-8
node-path-is-absolute	2.0.0-2
node-path-is-inside	1.0.2+~1.0.0-1
node-path-type	4.0.0-3
node-picocolors	1.0.0-4
node-pify	5.0.0+~cs5.0.1-1
node-pkg-dir	5.0.0-2
node-postcss	8.4.20+~cs8.0.23-1+deb12u1
node-postcss-modules-extract-imports	3.0.0-2
node-postcss-modules-values	4.0.0+~4.0.0-1
node-postcss-value-parser	4.2.0-1
node-prelude-ls	1.2.1+dfsg-3
node-process-nextick-args	2.0.1-3
node-progress	2.0.3-2
node-promise-inflight	1.0.1+~1.0.0-1
node-promise-retry	2.0.1-4
node-promzard	0.3.0-2
node-prr	1.0.1-3
node-pump	3.0.0-5
node-punycode	2.1.1-6
node-quick-lru	6.1.1-4
node-randombytes	2.1.0+~2.0.0-2
node-read	1.0.7-5
node-read-package-json	5.0.2+~2.0.0-1
node-read-pkg	5.2.0-2
node-readable-stream	3.6.0+~cs3.0.0-4
node-readdirp	3.6.0-1
node-rechoir	0.8.0+~0.6.1-2
node-regenerate	1.4.2-3
node-regenerate-unicode-properties	10.1.0+ds-1
node-regenerator-runtime	0.15.1+~0.10.8-1
node-regenerator-transform	0.15.1+~0.10.8-1
node-regexpp	3.2.0-4
node-regexpu-core	5.2.2-3
node-regjsgen	0.7.1+ds-1
node-regjsparser	0.9.1+ds-2
node-repeat-string	1.6.1+repack-1
node-require-directory	2.1.1+~2.1.2-1
node-resolve	1.22.1+~cs5.31.10-1
node-resolve-cwd	3.0.0-2
node-resolve-from	5.0.0+~3.1.0+~3.3.0+~2.0.0-1
node-resumer	0.0.0-6
node-retry	0.13.1+~0.12.1-1
node-rimraf	3.0.2-2
node-run-queue	2.0.0-3
node-safe-buffer	5.2.1+~cs2.1.2-3
node-schema-utils	3.1.1~ds-2
node-semver	7.3.5+~7.3.9-2
node-serialize-javascript	6.0.0-2+deb12u1
node-set-blocking	2.0.0-2
node-set-immediate-shim	2.0.0-2
node-shebang-command	2.0.0-1
node-shebang-regex	3.0.0-2
node-signal-exit	3.0.7+~3.0.1-1
node-slash	4.0.0-3
node-slice-ansi	5.0.0+~cs9.0.0-5
node-source-list-map	2.0.1+dfsg-2
node-source-map	0.7.0++dfsg2+really.0.6.1-15
node-source-map-support	0.5.21+ds+~0.5.4-1
node-spdx-correct	3.1.1-2
node-spdx-exceptions	2.3.0-2
node-spdx-expression-parse	3.0.1+~3.0.1-1
node-spdx-license-ids	3.0.12-1
node-sprintf-js	1.1.2+ds1+~1.1.2-1
node-ssri	9.0.1-2
node-string-decoder	1.3.0-6
node-string-width	4.2.3+~cs13.2.3-1
node-strip-ansi	6.0.1-2
